회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
크리스탈,083790,자연과학 및 공학 연구개발업,신개념항생제(전임상),2006-01-06,12월,조중명,http://www.cgxinc.com,경기도
바이로메드,084990,자연과학 및 공학 연구개발업,"기술이전수입,연구용시료",2005-12-29,12월,김용수,http://www.viromed.co.kr,서울특별시
바이오니아,064550,의료용품 및 기타 의약관련제품 제조업,"합성유전자,시약및유전자분석장비",2005-12-29,12월,박한오,http://www.bioneer.co.kr,대전광역시
인콘,083640,통신 및 방송 장비 제조업,DVR(DigitalVideoRecoder),2005-12-27,12월,권오언,http://www.win4net.com,경기도
차바이오텍,085660,기초 의약물질 및 생물학적 제제 제조업,"세포치료제 개발, 제대혈 보관 등",2005-12-27,12월,최종수,http://www.chabio.com,서울특별시
대봉엘에스,078140,의약품 제조업,"원료의약품,화장품원료",2005-12-23,12월,"박종호, 박진오",http://www.daebongls.co.kr,인천광역시
와이엔텍,067900,폐기물 처리업,"사업장폐기물중간및최종처리,전문건설,골재제조",2005-12-23,12월,김연석,http://www.y-entec.co.kr,전라남도
케이엠,083550,기타 전문 도매업,클린룸용Wiper,2005-12-20,12월,신병순,http://kmbiz.com,강원도
수성,084180,일반 목적용 기계 제조업,전동지게차,2005-12-16,12월,김정태,http://www.soosung.com,인천광역시
엠피씨,050540,기타 사업지원 서비스업,"CRM서비스,CRM솔루션",2005-12-12,12월,조성완,http://www.mpc.co.kr,서울특별시
모다이노칩,080420,전자부품 제조업,"ESD필터,칩바리스터",2005-12-06,12월,"박인길, 권오일, 박칠봉(각자 대표이사)",http://www.innochips.co.kr,경기도
비에이치아이,083650,일반 목적용 기계 제조업,"보일러,열교환기등",2005-12-02,12월,"우종인, 조원래 (각자 대표이사)",http://www.bhi.co.kr,경상남도
EMW,079190,통신 및 방송 장비 제조업,휴대폰안테나,2005-11-29,12월,유병훈,http://emw.co.kr,인천광역시
동부라이텍,045890,전구 및 조명장치 제조업,"CNC전용장비,LightPanel",2005-11-28,12월,이재형,http://www.fawoo.co.kr,경기도
루미마이크로,082800,반도체 제조업,백색발광다이오드(LED),2005-11-18,12월,이진수,http://www.lumimicro.com,경기도
자연과환경,043910,환경 정화 및 복원업,"스테인레스파이프, 다공성식생블록,조경원예자재",2005-11-18,12월,"이병용, 정대열(각자 대표이사)",http://www.e-nne.co.kr,충청남도
와토스코리아,079000,플라스틱제품 제조업,위생도기용부속(양변기용),2005-11-15,12월,송공석,http://www.watos.com,전라남도
인프라웨어,041020,소프트웨어 개발 및 공급업,임베디드브라우저(WAP브라우저),2005-10-28,12월,"곽민철, 이해석 (각자대표)",http://www.infraware.co.kr,서울특별시
두올산업,078590,자동차 부품 제조업,자동차내장카페트,2005-10-27,12월,박재진,http://www.idual.co.kr,경상남도
서린바이오,038070,기타 전문 도매업,생명과학연구기기및시약,2005-10-25,12월,황을문,http://www.seoulin.co.kr,경기도
가비아,079940,소프트웨어 개발 및 공급업,"도메인,호스팅",2005-10-19,12월,김홍국,http://www.gabia.com,경기도
덕산하이메탈,077360,반도체 제조업,솔더볼(Solderball),2005-10-14,12월,"이준호, 김길연(각자 대표이사)",http://www.hi-metal.co.kr,울산광역시
아바코,083930,특수 목적용 기계 제조업,평판디스플레이제조용장비,2005-10-11,12월,김광현,http://www.avaco.co.kr,대구광역시
하나마이크론,067310,반도체 제조업,"반도체패키징,USB플래쉬드라이브",2005-10-11,12월,"최창호, 한호창 (각자 대표이사)",http://www.hanamicron.co.kr,충청남도
삼우엠스,082660,통신 및 방송 장비 제조업,휴대폰케이스,2005-10-05,12월,"안건준, 임승혁",http://www.crucialems.com,대구광역시
엘오티베큠,083310,특수 목적용 기계 제조업,반도체제조용진공펌프,2005-10-05,12월,오흥식,http://www.lotvacuum.com,경기도
이상네트웍스,080010,상품 중개업,기업간전자상거래서비스,2005-09-30,12월,조원표,,서울특별시
아리온,058220,통신 및 방송 장비 제조업,디지털셋톱박스,2005-08-05,12월,최정환,http://www.arion.co.kr,경기도
메디포스트,078160,기초 의약물질 및 생물학적 제제 제조업,제대혈은행,2005-07-29,12월,양윤선,http://www.medi-post.co.kr,경기도
우리이티아이,082850,전구 및 조명장치 제조업,"LCD광원부품(CCFL,EEFL)",2005-07-29,12월,"윤철주, 이영득",http://www.wooreeeti.co.kr,경기도
모두투어,080160,여행사 및 기타 여행보조 서비스업,"항공권판매수수료,해외여행알선",2005-07-26,12월,우종웅,http://www.modetour.co.kr,서울특별시
셀트리온,068270,기초 의약물질 및 생물학적 제제 제조업,"단백질 의약품의 연구, 개발 및 제조",2005-07-19,12월,"기우성, 김형기(공동대표)",http://www.celltrion.com,인천광역시
가온미디어,078890,통신 및 방송 장비 제조업,디지털셋톱박스,2005-07-12,12월,임화섭,http://www.kaonmedia.com,경기도
쏠리드,050890,통신 및 방송 장비 제조업,"이동통신중계기,위성DMB용중계기",2005-07-08,12월,"정준, 이승희 (각자대표이사)",http://www.solid.co.kr,경기도
옵트론텍,082210,"안경, 사진장비 및 기타 광학기기 제조업","IRFilter,Grating",2005-06-24,12월,홍사관,http://www.optrontec.com,경상남도
젬백스,082270,특수 목적용 기계 제조업,"ChemicalAirFilter,GasScrubber",2005-06-24,12월,"김상재, 김경희",http://www.kael.co.kr,대전광역시
플랜티넷,075130,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",유해사이트차단서비스,2005-06-10,12월,김태주,http://www.plantynet.com,경기도
세진전자,080440,자동차 부품 제조업,"자동차부품, 키보드 등",2005-05-13,12월,이승열,http://SEJIN.COM,서울특별시
이노와이어리스,073490,통신 및 방송 장비 제조업,통신용 시험 및 계측장비,2005-02-04,12월,정종태,http://www.innowireless.co.kr,경기도
인베니아,079950,특수 목적용 기계 제조업,"Dry Etcher, 진공합착기, LCD Panel 검사장비, OLED용 진공합착기, MOCVD",2005-02-04,12월,신동찬,http://www.ligadp.com,경기도
동양이엔피,079960,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","휴대폰용,OA기기및통신장비용,디지털가전용전원공급장치",2005-02-01,12월,"김재수,강병수",http://www.dyenp.com,경기도
제주반도체,080220,반도체 제조업,"모바일용 LP DDR SDRAM, CRAM, SRAM",2005-02-01,12월,"박성식, 조형섭(각자 대표)",http://www.jeju-semi.com,제주특별자치도
한창산업,079170,1차 비철금속 제조업,"아연말,리튬브로마이드,산화망간,인산아연",2005-02-01,12월,강호익,http://www.hanchem.com,경기도
디이엔티,079810,특수 목적용 기계 제조업,FPD공정검사장비,2005-01-26,12월,김영길,http://www.i-det.com,충청남도
에스엔유,080000,특수 목적용 기계 제조업,"OLED증착장비, OLED봉지장비, LCD검사장비 등",2005-01-25,12월,"박희재, 박춘재(각자대표)",http://www.snuprecision.com,충청남도
iMBC,052220,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개서비스업","디지털콘텐츠,웹에이젼시",2005-01-21,12월,허연회,http://www.imbc.com,서울특별시
서산,079650,"시멘트, 석회, 플라스터 및 그 제품 제조업","레미콘,전주,고강도파일,흄관",2005-01-21,12월,염홍섭,http://www.seo-san.co.kr,광주광역시
KMH하이텍,052900,플라스틱제품 제조업,TRAY(반도체Packing재료),2005-01-18,12월,심현섭,http://www.kmhhitech.com,충청남도
손오공,066910,"인형,장난감 및 오락용품 제조업","완구,게임,캐릭터수입수수료",2005-01-07,12월,김종완,http://www.sonokong.co.kr,경기도
미래컴퍼니,049950,특수 목적용 기계 제조업,EdgeGrinder,2005-01-04,12월,김준홍,http://www.meerecompany.com,경기도
아이크래프트,052460,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","인터넷핵심망(CCR,MCR,NAS등)",2005-01-03,12월,박우진,http://www.icraft21.com,서울특별시
메가스터디,072870,일반 교습 학원,"온라인강의,교재판매",2004-12-21,12월,"구우진, 최봉수 (각자대표)",http://corp.megastudy.net,서울특별시
케이에스피,073010,일반 목적용 기계 제조업,"선박용엔진밸브,형단조품",2004-12-17,12월,류흥목,http://www.kspvalve.com,부산광역시
KG모빌리언스,046440,소프트웨어 개발 및 공급업,유무선전화결제서비스,2004-12-14,12월,"곽재선, 곽정현(각자 대표이사)",http://www.mobilians.co.kr,경기도
대주전자재료,078600,전자부품 제조업,PDP격벽재료등,2004-12-10,12월,"임일지,임중규(각자대표)",http://www.daejoo.co.kr,경기도
텔레칩스,054450,반도체 제조업,"디지털미디어프로세서,발신자정보표시칩",2004-12-10,12월,이장규,http://www.telechips.com,서울특별시
HB테크놀러지,078150,특수 목적용 기계 제조업,TFT-LCD검사장비,2004-12-08,12월,문성준,http://www.ncbnet.co.kr,충청남도
도이치모터스,067990,자동차 판매업,"자동공구교환기,가공전용기",2004-12-03,12월,권오수,http://www.deutschmotors.com,서울특별시
토비스,051360,영상 및 음향기기 제조업,Gaming모니터,2004-11-19,12월,"김 용 범, 하 희 조",http://www.tovism.com,인천광역시
태양씨앤엘,072520,전자부품 제조업,휴대폰윈도우,2004-10-29,12월,방헌균,http://www.tyec.co.kr,대구광역시
국일제지,078130,기타 종이 및 판지 제품 제조업,"산업용 및 가정용 지류(강판간지, 다공지 등)",2004-10-22,12월,변종경,http://www.kukilpaper.co.kr,경기도
DMS,068790,특수 목적용 기계 제조업,LCD 제조장비,2004-10-01,12월,박용석,http://www.dms21.co.kr,경기도
일경산업개발,078940,전기 및 통신 공사업,엘리베이터 레일,2004-08-27,12월,심규석,http://www.ilkyung.com,충청남도
코아로직,048870,반도체 제조업,카메라 어플리케이션 프로세서(CAP),2004-08-13,12월,차오위즈(QIAO YUZHI),http://www.corelogic.co.kr,경기도
신성델타테크,065350,가정용 기기 제조업,"세탁기, 자동차, 에어컨 및 LCD 부품",2004-08-06,12월,구자천,http://www.ssdelta.co.kr,경상남도
한국경제TV,039340,텔레비전 방송업,"광고수입, 협찬수입",2004-07-30,12월,송재조,http://www.wownet.co.kr,서울특별시
다날,064260,소프트웨어 개발 및 공급업,모바일콘텐츠 및 유무선전화결제,2004-07-23,12월,최병우,http://www.danal.co.kr,경기도
형지I&C,011080,봉제의복 제조업,남성셔츠,2004-07-02,12월,최혜원,http://www.woosunginc.com,서울특별시
휘닉스소재,050090,전자부품 제조업,"Metal Paste, Solder Ball",2004-06-29,12월,"홍석규, 고승범 각자대표",http://www.phoenixmaterials.kr,경상북도
코엔텍,029960,폐기물 처리업,산업폐기물 소각/매립처리,2004-06-18,12월,이민석,http://www.koentec.co.kr,울산광역시
와이비엠넷,057030,교육지원 서비스업,"온라인교육, 수수료수입 등",2004-06-08,12월,이동현,http://www.ybmsisa.com,경기도
CS,065770,통신 및 방송 장비 제조업,"이동통신중계기, 위성방송(DMB)중계기(Gap-Filler)",2004-06-04,12월,"최규훈, 최규백",http://www.cs-holdings.co.kr,경기도
아미노로직스,074430,기타 전문 도매업,DVR용 영상처리 칩,2004-06-04,12월,"오장석,오성석",http://www.aminologics.co.kr,서울특별시
한컴지엠디,077280,반도체 제조업,TFT-LCD용 ASIC,2004-06-02,12월,김현수,http://www.dawintech.com,경기도
테라젠이텍스,066700,의약품 제조업,"Loading/Unloading System, PCB Bonding System",2004-05-27,12월,고진업,http://www.thera-gen.com,경기도
디에이피,066900,전자부품 제조업,Build-Up PCB(인쇄회로기판),2004-05-14,12월,"권오일, 최봉윤",http://www.dapmc.co.kr,경기도
한양디지텍,078350,반도체 제조업,메모리 모듈,2004-05-14,12월,김윤상,http://www.hanyangdgt.com,경기도
동국알앤에스,075970,기타 비금속 광물제품 제조업,"내화물, 페라이트, 세라믹",2004-02-13,12월,이강학,http://www.dkref.co.kr,경상남도
빛과전자,069540,통신 및 방송 장비 제조업,"광가입자용 광송수신모듈, CATV/이동통신용 광부품",2004-02-13,12월,"오중건,임영규",http://www.lightron.co.kr,대전광역시
디비케이,073190,가구 제조업,사무용 및 가정용 의자,2004-02-06,12월,정관영,http://duoback.co.kr,인천광역시
삼진엘앤디,054090,전자부품 제조업,"몰드프레임, TFT-LCD BLU",2004-02-06,12월,"이경재,이명종",http://samjin.co.kr,경기도
에스텍파마,041910,의약품 제조업,원료의약품,2004-02-06,12월,김재철,http://www.estechpharma.com,경기도
넥센테크,073070,자동차 부품 제조업,자동차용 와이어링 하네스,2004-01-28,12월,박종욱,http://www.nexentech.co.kr,울산광역시
스포츠서울,039670,"서적, 잡지 및 기타 인쇄물 출판업",신문사업(스포츠ㆍ연예 전문 일간지),2004-01-16,03월,유지환,http://www.sportsseoul.com,서울특별시
세진티에스,067770,전자부품 제조업,TFT-LCD용 광기능성 시트,2004-01-09,12월,김인식,http://www.sejints.co.kr,경기도
한솔인티큐브,070590,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",기업통신 및 무선인터넷,2004-01-08,12월,유화석,http://www.hansolinticube.com,서울특별시
삼원테크,073640,기타 금속가공제품 제조업,유압용 관이음쇠,2004-01-06,12월,이택우,http://www.samwon-tech.com,경상남도
에이티테크놀러지,073570,특수 목적용 기계 제조업,Wafer Burn In Test 장비,2004-01-06,12월,김형준,http://www.at-tech.co.kr,충청남도
우주일렉트로,065680,전자부품 제조업,정보통신용 초정밀커넥터,2004-01-02,12월,노영백,http://www.uju.com,경기도
토필드,057880,영상 및 음향기기 제조업,셋톱박스(디지털위성방송수신기),2003-12-29,12월,"서문동군, 오성록 각자대표",http://www.topfield.co.kr,경기도
아이리버,060570,영상 및 음향기기 제조업,휴대용 MP3 Player,2003-12-19,12월,박일환,http://www.iriver.co.kr,서울특별시
아프리카TV,067160,소프트웨어 개발 및 공급업,미디어플랫폼,2003-12-19,12월,서수길,http://corp.afreecatv.com,경기도
캔들미디어,066410,"영화, 비디오물, 방송프로그램 제작 및 배급업",DVD타이틀,2003-12-19,12월,"운다준 (YUN, DAH-JIUNN)",http://www.candlemedia.co.kr,서울특별시
원익QnC,074600,유리 및 유리제품 제조업,석영유리가공제품,2003-12-12,12월,임창빈,http://www.wonikquartz.com,경상북도
로체시스템즈,071280,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",LCD 제조용 이송장비,2003-11-14,12월,박기환,http://www.rorze.co.kr,경기도
에버다임,041440,특수 목적용 기계 제조업,"콘크리트펌프트럭, 중장비개량사업",2003-11-14,12월,전병찬,http://www.everdigm.com,충청북도
에스텍,069510,영상 및 음향기기 제조업,스피커 및 스피커시스템,2003-11-14,12월,"노성택, 오인용 (각자 대표이사)",http://www.estec.co.kr,경상남도
오텍,067170,자동차 차체 및 트레일러 제조업,"냉동 및 내장탑차, 앰블란스",2003-11-14,12월,강성희,http://www.autech.co.kr,충청남도
키이스트,054780,"영화, 비디오물, 방송프로그램 제작 및 배급업",멀티미디어 SI,2003-11-14,12월,"신필순, 배성웅 (각자 대표이사)",http://www.keyeast.co.kr,서울특별시
SK컴즈,066270,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개서비스업","싸이월드, 네이트온, 네이트",2003-11-07,12월,박상순,http://www.skcomms.co.kr,서울특별시
중앙백신,072020,기초 의약물질 및 생물학적 제제 제조업,동물용백신,2003-10-31,12월,윤인중,http://www.cavac.co.kr,대전광역시
휴비츠,065510,의료용 기기 제조업,"자동검안기, 자동렌즈미터",2003-10-31,12월,김현수,http://www.huvitz.com,경기도
우리산업홀딩스,072470,자동차 부품 제조업,HVAC ACTUATOR (자동차 공조장치 부품 등),2003-10-28,12월,김명준,http://www.woory.com,경기도
디지털대성,068930,일반 교습 학원,대성N스쿨 (교육 프랜차이즈),2003-10-17,12월,김희선,http://www.digitaldaesung.com,서울특별시
코스온,069110,기타 화학제품 제조업,화장품,2003-10-14,12월,이동건,http://coson.co.kr,서울특별시
유아이디,069330,전자부품 제조업,STN LCD GLASS(연마),2003-08-18,12월,박종수 (대표이사),http://www.uidkorea.co.kr,세종특별자치시
티씨케이,064760,기타 비금속 광물제품 제조업,반도체 제조공정용 고순도 흑연제품,2003-08-18,12월,"세리자와 유지, 박영순(각자대표)",http://www.tck.co.kr,경기도
아모텍,052710,전자부품 제조업,"칩바리스터, 아몰퍼스코어",2003-08-01,12월,"김병규, 정준환 (각자 대표이사)",http://www.amotech.co.kr,인천광역시
웰크론,065950,직물직조 및 직물제품 제조업,"고기능성 청소용품, 목욕용품",2003-07-29,12월,이영규,http://www.welcron.com,서울특별시
파워로직스,047310,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",휴대폰 배터리 등 2차전지용 보호회로,2003-07-25,12월,김원남,http://www.powerlogics.co.kr,충청북도
케이엔씨글로벌,068150,실내건축 및 건축마무리 공사업,"나노섬유, 건축, 인테리어",2003-07-21,12월,우찬구,http://www.nt-pia.com,경기도
신스타임즈,056000,영상 및 음향기기 제조업,MP3 Player,2003-07-11,12월,"박남규, 왕빈(wang bin) (각자대표)",http://www.cowon.com,서울특별시
이라이콤,041520,전자부품 제조업,TFT-LCD용 Back Light Unit,2003-07-04,12월,김중헌,http://www.e-litecom.com,경기도
큐브스,065560,소프트웨어 개발 및 공급업,지리정보 소프트웨어,2003-07-01,12월,정상훈,http://www.sundosoft.com,서울특별시
홈캐스트,064240,영상 및 음향기기 제조업,디지털 셋톱박스,2003-06-11,12월,"신재호, 권영철 각자 대표이사",http://www.homecast.net,서울특별시
씨씨에스,066790,텔레비전 방송업,케이블TV서비스 및 초고속인터넷서비스,2003-05-30,12월,유희훈,http://www.ccstv.co.kr,충청북도
웹젠,069080,소프트웨어 개발 및 공급업,3D 온라인게임 '뮤(MU)',2003-05-23,12월,김태영,http://company.webzen.com,경기도
대화제약,067080,의약품 제조업,"후로스판, 세파메칠 등",2003-02-14,12월,"노병태, 김은석(각자대표)",http://www.dhpharm.co.kr,강원도
우수AMS,066590,자동차 부품 제조업,"엔진, 조향 및 기아변속기 부품",2003-02-12,12월,전종인,http://woosu.co.kr,경상남도
JW신약,067290,의약품 제조업,"매니큐어세트, 손톱깎이",2003-02-11,12월,김진환,http://www.cwsy.co.kr,서울특별시
하츠,066130,가정용 기기 제조업,"레인지후드, 빌트인 기기 등",2003-02-11,12월,김성식,http://www.haatz.co.kr,경기도
SBS콘텐츠허브,046140,"영화, 비디오물, 방송프로그램 제작 및 배급업","컨텐츠, 프로젝트",2003-02-05,12월,신동욱,http://www.sbscontentshub.co.kr,서울특별시
빅텍,065450,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",전자전시스템 장치류,2003-02-05,12월,"박승운, 이용국 (각자대표이사)",http://www.victek.co.kr,경기도
탑엔지니어링,065130,특수 목적용 기계 제조업,LCD Cell Line 자동화 장치,2003-01-29,12월,"김원남,류도현(공동)",http://www.topengnet.com,경상북도
이루온,065440,소프트웨어 개발 및 공급업,이동통신 핵심망 및 서비스망 솔루션 개발 공급,2003-01-28,12월,"이승구, 이영성 (각자 대표이사)",http://eluon.com,경기도
재영솔루텍,049630,"안경, 사진장비 및 기타 광학기기 제조업",플라스틱 사출금형,2003-01-24,12월,김학권,http://www.jysolutec.com,인천광역시
한국큐빅,021650,플라스틱제품 제조업,Curl Fit(표면처리사업),2003-01-24,12월,오 우 택,http://www.cubic.co.kr,경기도
인터플렉스,051370,전자부품 제조업,연성회로기판(Flexible PCB),2003-01-22,12월,이광식,http://www.interflex.co.kr,경기도
메디프론,065650,기계장비 및 관련 물품 도매업,음반재킷 제작,2003-01-21,12월,"묵현상,김영호(각자 대표이사)",http://medifon.com,서울특별시
삼영이엔씨,065570,통신 및 방송 장비 제조업,"GMDSS장비, GPS플로터 등",2003-01-21,12월,황원,http://www.samyungenc.com,부산광역시
하이쎌,066980,전자부품 제조업,TFT-LCD용 광기능성 필름,2003-01-17,12월,정상준,http://www.hicel.com,서울특별시
리더스코스메틱,016100,기타 화학제품 제조업,화장품,2003-01-15,12월,김진구,http://www.leaderscosmetics.com,서울특별시
케이에스씨비,065940,기초화학물질 제조업,"착색제, 잉크 등",2003-01-07,12월,"백성현, 최영석(각자대표)",http://www.pkfc.co.kr,경상남도
케이피엠테크,042040,기타 화학제품 제조업,"표면처리약품, 전자동 도금설비",2003-01-07,12월,이청균,http://www.kpmtech.co.kr,경기도
엘앤에프,066970,일차전지 및 축전지 제조업,TFT-LCD BLU(Back Light Unit),2003-01-02,12월,"이봉원,최수안",http://www.landf.co.kr,대구광역시
디스플레이텍,066670,전자부품 제조업,LCD Module,2002-12-30,12월,박윤민,http://www.displaytech.co.kr,경기도
와이오엠,066430,기타 사업지원 서비스업,의료기기 및 치과용소재 판매,2002-12-24,12월,염현규,http://www.stemscience.co.kr,서울특별시
초록뱀,047820,"영화, 비디오물, 방송프로그램 제작 및 배급업",방송프로그램 제작 및 공급,2002-12-24,12월,"윤기태,오민수 (각자대표이사)",http://www.chorokbaem.com,서울특별시
한양하이타오,064090,통신 및 방송 장비 제조업,CCTV CAMERA 등,2002-12-17,12월,"오세광,이혁수",http://www.huviron.com,경기도
쎌바이오텍,049960,기초 의약물질 및 생물학적 제제 제조업,유산균 원말 및 완제품,2002-12-13,12월,정명준,http://cbt.co.kr,경기도
프리젠,060910,전자부품 제조업
능률교육,053290,"서적, 잡지 및 기타 인쇄물 출판업",영어학습교재,2002-12-10,12월,황도순,http://www.neungyule.com,서울특별시
바른전자,064520,반도체 제조업,"메모리 카드, 스마트 카드 등",2002-12-04,12월,김태섭,http://www.bec.co.kr,경기도
KG이니시스,035600,소프트웨어 개발 및 공급업,전자지불서비스,2002-11-22,12월,"곽재선, 윤보현(각자 대표이사)",http://www.inicis.com,경기도
넥스트BT,065170,음·식료품 및 담배 도매업,건강보조식품 등,2002-11-19,12월,문 원 국,http://www.nrdglobal.com,충청북도
파라다이스,034230,유원지 및 기타 오락관련 서비스업,카지노,2002-11-05,12월,"박병룡, 정연수",http://www.paradise.co.kr,서울특별시
젬백스테크놀러지,041590,전자부품 제조업,액정표시장치(모듈),2002-11-01,12월,"김상재, 서영운(각자 대표이사)",http://www.hnhglobalresource.com,대전광역시
새로닉스,042600,전자부품 제조업,"광학시트, FFC",2002-10-01,12월,허제홍,http://www.seronics.co.kr,경상북도
오리엔트정공,065500,자동차 부품 제조업,"하우징, 리테이너베어링",2002-09-19,12월,장재진,http://www.orientpi.co.kr,경상북도
퍼시픽바이오,060900,석유 정제품 제조업,콜센터운영서비스,2002-09-17,12월,김진걸,http://www.lgairpark.com,서울특별시
국보디자인,066620,실내건축 및 건축마무리 공사업,인테리어디자인,2002-09-05,12월,황창연,http://www.ikukbo.com,서울특별시
에스아이리소스,065420,기타 전문 도매업,자카드직물,2002-08-22,12월,박희연,http://www.siresource.co.kr,서울특별시
와이디온라인,052770,소프트웨어 개발 및 공급업,e-Business Solution & Service,2002-08-22,12월,신상철,http://www.ydonline.co.kr,서울특별시
필링크,064800,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",Wap Gateway,2002-08-22,12월,조정영,http://www.feelingk.com,서울특별시
리노스,039980,"섬유, 의복, 신발 및 가죽제품 소매업","TRS통신, Kipling Bag외",2002-08-13,12월,이웅상,http://www.leenos.co.kr,서울특별시
현대아이비티,048410,컴퓨터 및 주변장치 제조업,"LCD모니터, 디지털 사이니지, 바이오 양모제",2002-08-08,12월,오상기,http://www.hyundaiibt.com,경상북도
에프티이앤이,065160,화학섬유 제조업,빙축열냉방시스템,2002-07-30,12월,박종철,http://www.ftene.com,서울특별시
에스피지,058610,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",소형 Geared Motor,2002-07-23,12월,"이준호, 여영길(각자 대표이사)",http://www.spg.co.kr,인천광역시
토탈소프트,045340,소프트웨어 개발 및 공급업,해운물류소프트웨어 (CATOS 등),2002-07-19,12월,최장수,http://www.tsb.co.kr,부산광역시
대진디엠피,065690,고무제품 제조업,고무 및 플라스틱제품 제조업,2002-07-16,12월,박창식,http://www.xleds.co.kr,충청남도
서호전기,065710,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",항만크레인 구동전기장치,2002-07-16,12월,김승남,http://www.seoho.co.kr,경기도
한프,066110,컴퓨터 및 주변장치 제조업,OPC Drum,2002-07-16,12월,김형남,http://www.baiksanopc.co.kr,충청북도
서울리거,043710,그외 기타 제품 제조업,모바일 주변 기기류,2002-07-11,12월,이장우,http://www.rocketmobile.co.kr,인천광역시
홈센타홀딩스,060560,"시멘트, 석회, 플라스터 및 그 제품 제조업","건축자재,레미콘",2002-07-11,12월,박병준,http://www.home-center.co.kr,대구광역시
아비코전자,036010,통신 및 방송 장비 제조업,"전자저항기, 전자인덕터",2002-07-03,12월,"이종만, 김창수(각자대표)",http://www.abco.co.kr,경기도
큐렉소,060280,기타 상품 전문 소매업,"만화단행본, 정기간행물",2002-07-03,12월,이재준,http://www.curexo.com,서울특별시
제낙스,065620,1차 철강 제조업,"스테인레스 와이어, 로프, 용접봉",2002-06-27,12월,신이현,http://www.shineworld.com,부산광역시
이그잭스,060230,전자부품 제조업,화학제품 및 전자재료,2002-06-25,12월,조근호,http://www.exax.co.kr,대구광역시
옴니텔,057680,소프트웨어 개발 및 공급업,"모바일방송, 모바일컨텐츠",2002-06-18,12월,김경선,http://www.omnitel.co.kr,서울특별시
우원개발,046940,기반조성 및 시설물 축조관련 전문공사업,토공사,2002-06-18,12월,김기영,http://www.woowonerd.com,서울특별시
인선이엔티,060150,폐기물 처리업,건축폐기물처리,2002-06-14,12월,김대봉,http://www.insun.co.kr,경기도
전파기지국,065530,전기통신업,공용기지국건설/관리,2002-06-04,12월,"장석하, 김창곤(각자대표이사)",http://www.krtnet.co.kr,서울특별시
에프엔씨애드컬쳐,063440,기록매체 복제업,"추첨식복권 제조, 일반출판 인쇄, CD ·DVD 복제",2002-05-30,12월,한성호,http://www.fncadc.com,경기도
지어소프트,051160,소프트웨어 개발 및 공급업,"Mobile Solution & Platform, Internet GIS, Mobile Service",2002-05-28,12월,김영준,http://www.gaeasoft.co.kr,서울특별시
지엔코,065060,봉제의복 제조업,"캐쥬얼의류(SPORT-REPLAY, Thursday Island)",2002-05-28,12월,김석주 장지혁 (각자대표이사),"http://www.gnco.co.kr,www.thursdayisland.com",서울특별시
셀루메드,049180,기초 의약물질 및 생물학적 제제 제조업,전자제품 스위치,2002-05-23,12월,심영복,http://www.kbbcom.co.kr,서울특별시
KH바텍,060720,전자부품 제조업,"휴대폰부품(SHIELD, BRACKET)",2002-05-21,12월,남광희,http://www.khvatec.com,경상북도
알에프텍,061040,통신 및 방송 장비 제조업,"핸드폰 충전기, 핸즈프리",2002-05-16,12월,차정운,http://www.rftech.co.kr,경기도
에스폴리텍,050760,플라스틱제품 제조업,유무선 통신용 소프트웨어,2002-05-16,12월,이혁렬,http://www.spolytech.com,충청북도
이랜텍,054210,전자부품 제조업,Battery Pack,2002-05-09,12월,이세용,http://www.elentec.co.kr,경기도
라이브플렉스,050120,가정용품 도매업,"텐트, 원 ·부자재",2002-04-25,12월,김병진,http://www.liveplex.co.kr,서울특별시
케이피티,054410,기타 금속가공제품 제조업,"Vacuum Treatment, Plasma Surface Treatment",2002-04-25,12월,임 훈,http://www.kpt4u.com,경기도
3S,060310,전자부품 제조업,반도체 웨이퍼 캐리어,2002-04-23,03월,박종익,http://www.3sref.com,서울특별시
화일약품,061250,의약품 제조업,의약품 원료,2002-04-18,12월,"조중명,박필준",http://www.hwail.com,경기도
한진피앤씨,061460,플라스틱제품 제조업,"통기성필름, 판지상자인쇄",2002-04-11,12월,"조점근, 김웅걸",http://www.hanjinpnc.com,충청남도
오상자이엘,053980,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",CATIA Solution,2002-04-09,12월,"이극래,이동현(각자대표)",http://www.osangjaiel.co.kr,인천광역시
농우바이오,054050,작물 재배업,"고추, 수박, 참외(메론), 오이, 호박, 무, 배추 등",2002-04-02,12월,단독대표 정용동,http://www.nongwoobio.co.kr,경기도
